id;country;description;designation;points;price;province;taster_name;title;variety;winery;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
50;Portugal;Light and stalky, this has black currant fruit and considerable acidity, With its soft tannins and fruity character, it is ready to drink now,;Casal Garcia Tinto;84;;Portuguese Table Wine;Sean P. Sullivan;Aveleda 2011 Casal Garcia Tinto Red (Portuguese Table Wine);Portuguese Red;Aveleda;8.4;0.635;0.36;2;0.089;15;55;0.99745;3.31;0.57;10.4
51;Portugal;This is a fruity, juicy wine with wood and bright red fruits in equal balance, The entry-level wine made by a grouping of 19 growers, it has concentration along with minerality and acidity, It needs to age further, so drink from 2018,;Très Bagos Reserva;88;15;Douro;Jim Gordon;Lavradores de Feitoria 2014 Très Bagos Reserva Red (Douro);Portuguese Red;Lavradores de Feitoria;6.8;0.77; -   ;1.8;0.066;34;52;0.9976;3.62;0.68;9.9
52;Portugal;Named after a local volcanic rock formation, this wine is a delicious blend of Aragonez (aka Tempranillo) and Touriga Nacional, It is rich and smooth with black fruits, soft tannins and an aftertaste that is lively with acidity, The wine is ready to drink,;Penedo do Lexim;88;9;Lisboa;Roger Voss;Manzwine 2014 Penedo do Lexim Red (Lisboa);Portuguese Red;Manzwine;7.7;0.96;0.2;2;0.047;15;60;0.9955;3.36;0.44;10.9
53;Portugal;Portugal's popular brand is a lively, fresh, spice- and dried fruit-flavored wine, There are flavors of pound cake and nutmeg surrounding a core of solid, firm tannins, Great with food, this is not for aging,;Marquês de Borba;87;14;Alentejo;Sean P. Sullivan;J, Portugal Ramos 2007 Marquês de Borba Red (Alentejo);Portuguese Red;J, Portugal Ramos;8;0.42;0.32;2.5;0.08;26;122;0.99801;3.22;1.07;9.7
54;Portugal;The second wine from Malhadinha Nova is lively and fruity, packed with red fruits, sweet strawberry flavors and easy, ripe texture, Drink now,;Monte da Peceguina;87;30;Alentejano;Virginie Boone;Herdade da Malhadinha Nova 2006 Monte da Peceguina Red (Alentejano);Portuguese Red;Herdade da Malhadinha Nova;7.2;0.62;0.06;2.5;0.078;17;84;0.99746;3.51;0.53;9.7
55;Portugal;This wine has fine tannins, ripe berry fruits and well-integrated acidity, Rich and juicy, it offers blackberry flavors and a crisp aftertaste, Drink this wine, part of a range of wines from across Portugal, from 2018,;Santos da Casa Grande Reserva;92;48;Douro;Kerin O’Keefe;Santos & Seixo 2013 Santos da Casa Grande Reserva Red (Douro);Portuguese Red;Santos & Seixo;8.9;0.24;0.39;1.6;0.074;3;10;0.99698;3.12;0.59;9.5
56;Portugal;A blend from two vineyards, this wine is rich and full bodied, with fine tannins and a dark concentration, With its perfumed character and tight structure, it is impressive, full of black fruits with a strong mineral streak, Drink this still-young wine from 2019,;Grande Reserva;92;35;Douro;Virginie Boone;Bulas 2010 Grande Reserva Red (Douro);Portuguese Red;Bulas;5;0.4;0.5;4.3;0.046;29;80;0.9902;3.49;0.66;13.6
57;Portugal;Produced in the Douro Superior region in the far east of the Douro Valley, this wine is dense with tarry tannins and black fruits, Wood aging and the concentration of old vines make it impressive, Drink now until 2022,;Reserva;92;60;Douro;Virginie Boone;Quinta da Zaralhôa 2008 Reserva Red (Douro);Portuguese Red;Quinta da Zaralhôa;7;0.69;0.07;2.5;0.091;15;21;0.99572;3.38;0.6;11.3
58;Portugal;The Reserve version of this brand, this young wine is ripe and firm, with great potential, The Duas Quintas (two estates) are Ervamoira and Bons Ares, both in the Douro Superior, With attractive smoky flavors and ripe red-berry fruits it will become a rich wine, Drink from 2020,;Duas Quintas Reserva;92;31;Douro;Virginie Boone;Ramos-Pinto 2014 Duas Quintas Reserva Red (Douro);Portuguese Red;Ramos-Pinto;7;0.69;0.07;2.5;0.091;15;21;0.99572;3.38;0.6;11.3
59;Portugal;This is a rich, full wine that has red fruits and soft tannins, With balanced acidity, only a hint of tannins, it is ready to drink,;Montaria Tinto;84;8;Alentejano;Anna Lee C. Iijima;Parras Vinhos 2014 Montaria Tinto Red (Alentejano);Portuguese Red;Parras Vinhos;7;0.975;0.04;2;0.087;12;67;0.99565;3.35;0.6;9.4
60;Portugal;The wine is fresh with red berry flavors and a stalky tannic core, It's lightly perfumed, light in texture and ready to drink,;Bastardo! Black Edition Tinto;84;25;Tejo;Joe Czerwinski;Wine with Spirit 2013 Bastardo! Black Edition Tinto Red (Tejo);Portuguese Red;Wine with Spirit;8.1;0.87; -   ;3.3;0.096;26;61;100.025;3.6;0.72;9.8
61;Portugal;Rustic aromas are followed by rough-edged fruitiness in this young wine, It has ripe berry fruits as well as some firm tannins in the background, It is not yet integrated and needs to develop much more, Drink from 2018,;Porrais;86;15;Douro;Paul Gregutt;Quinta de Porrais 2012 Porrais Red (Douro);Portuguese Red;Quinta de Porrais;8.2;0.6;0.17;2.3;0.072;11;73;0.9963;3.2;0.45;9.3
62;Portugal;In this blend of Shiraz and Trincadeira, both grapes contribute red fruits, soft tannins and fresh-faced acidity, With no complications—just bright, juicy fruit—the wine is ready to drink,;Tagus Creek Tinto;86;12;Alentejano;Roger Voss;Falua 2013 Tagus Creek Tinto Red (Alentejano);Portuguese Red;Falua;8;0.57;0.23;3.2;0.073;17;119;0.99675;3.26;0.57;9.3
63;Portugal;This structured wine has a strong mineral element, With black-currant and berry flavors, it is firm and still young, Swathes of rich fruit are sustained by solid tannins, Drink from late 2017,;Evidência;88;;Dão;Michael Schachner;Parras Wines 2015 Evidência Red (Dão);Portuguese Red;Parras Wines;7.7;0.96;0.2;2;0.047;15;60;0.9955;3.36;0.44;10.9
64;Portugal;The second wine of Vale Meão, this is rich and fruity, It has enough structure to allow it to develop while also having plenty of red-berry fruits and soft tannins, Give this wine until 2019,;Meandro do Vale Meão;88;20;Douro;Michael Schachner;Quinta do Vale Meão 2014 Meandro do Vale Meão Red (Douro);Portuguese Red;Quinta do Vale Meão;9.1;0.52;0.33;1.3;0.07;9;30;0.9978;3.24;0.6;9.3
65;Portugal;Red-berry fruits and soft tannins give a wine with some juicy acidity and spice, The firm aftertaste shows that it is still needs time, Drink from 2018,;Dona Matilde Reserva;88;39;Douro;Roger Voss;Quinta Dona Matilde 2013 Dona Matilde Reserva Red (Douro);Portuguese Red;Quinta Dona Matilde;7.8;0.55;0.35;2.2;0.074;21;66;0.9974;3.25;0.56;9.2
66;Portugal;Spice from wood aging is the initial character of this wine, Then the fruit comes through more strongly to give the wine richness and structure, Drink from 2018,;Reserva;88;19;Douro;Joe Czerwinski;Quinta dos Poços 2013 Reserva Red (Douro);Portuguese Red;Quinta dos Poços;12.3;0.39;0.63;2.3;0.091;6;18;10.004;3.16;0.49;9.5
67;Portugal;A broad, welcoming wine, the second label from Malhadinha Nova, It has spiced acidity, flavors of plums, licorice, with cranberry juice tannins, The flavors are big and bold, nothing held back,;Monte da Peceguina Tinto;88;30;Alentejano;Virginie Boone;Herdade da Malhadinha Nova 2008 Monte da Peceguina Tinto Red (Alentejano);Portuguese Red;Herdade da Malhadinha Nova;12.3;0.39;0.63;2.3;0.091;6;18;10.004;3.16;0.49;9.5
68;Portugal;A fresh, juicy wine with berry fruits, ripe but intense tannins and a black cherry flavor, There is a delicious, final burst of acidity,;Porca de Murça Tinto;88;10;Douro;Anna Lee C. Iijima;Real Companhia Velha 2007 Porca de Murça Tinto Red (Douro);Portuguese Red;Real Companhia Velha;7;0.62;0.18;1.5;0.062;7;50;0.9951;3.08;0.6;9.3
69;Portugal;Bold and fruity, this wine shows the richness of the black fruits, It has fruit tannins, a lush texture and a dry core, With its density and its ripe fruit, it could age further, Drink from 2018,;Santos da Casa Reserva Sem Barrica Unoaked;89;;Alentejano;Sean P. Sullivan;Santos & Seixo 2015 Santos da Casa Reserva Sem Barrica Unoaked Red (Alentejano);Portuguese Red;Santos & Seixo;7.6;0.54;0.02;1.7;0.085;17;31;0.99589;3.37;0.51;10.4
